feed_id,source_stop_id,name,lat,lon,mode,location_type,source_parent_id,city,district,region,country,wheelchair,platform_code,zone_id,timezone,departures_per_day
czptt,-SR70S-CZ-73074-6a,Beroun,49.957548,14.077924,train,0,-SR70ST-CZ-73074,,,,CZ,,6a,,Europe/Prague,345
czptt,-SR70S-CZ-73074-8,Beroun,49.957548,14.077924,train,0,-SR70ST-CZ-73074,,,,CZ,,8,,Europe/Prague,233
czptt,-SR70S-CZ-73082-1,Čížová,49.353584,14.097721,train,0,-SR70ST-CZ-73082,,,,CZ,,1,,Europe/Prague,692
czptt,-SR70S-CZ-73082-2,Čížová,49.353584,14.097721,train,0,-SR70ST-CZ-73082,,,,CZ,,2,,Europe/Prague,68
czptt,-SR70S-CZ-73082-3,Čížová,49.353584,14.097721,train,0,-SR70ST-CZ-73082,,,,CZ,,3,,Europe/Prague,33
czptt,-SR70S-CZ-73084,Králův Dvůr,49.942682,14.040029,train,0,,,,,CZ,,,,Europe/Prague,487
czptt,-SR70S-CZ-73092,Písek zastávka,49.312604,14.136039,train,0,,,,,CZ,,,,Europe/Prague,344
czptt,-SR70S-CZ-73094,Králův Dvůr - Popovice,49.928834,14.021056,train,0,,,,,CZ,,,,Europe/Prague,487
czptt,-SR70S-CZ-73095,Vojtanov obec,50.162243,12.313157,train,0,,,,,CZ,,,,Europe/Prague,262
czptt,-SR70S-CZ-73102,Horní Nerestce,49.497852,14.056699,train,0,,,,,CZ,,,,Europe/Prague,344
